Tanggal,Tn,Tx,Tavg,RH_avg,RR,ddd_x,ff_avg
23-05-2023,21.9,32.3,26.2,76,0.2,260,2
24-05-2023,21.7,31.8,26.3,76,0,270,2
25-05-2023,22.8,31.1,26.6,80,0,250,2
26-05-2023,22.2,32.5,29.4,67,0,270,2
27-05-2023,22.9,31.8,26.7,77,0,210,1
28-05-2023,21.4,31,26,73,0,250,2
29-05-2023,21.9,31.6,26.2,76,0,260,1
30-05-2023,22.2,32,26.9,70,0,220,1
31-05-2023,22.8,31,28.4,68,0,120,2
01-06-2023,22.2,31.9,26.7,76,0,270,2
02-06-2023,23.5,31.8,26.6,80,0,4,2
03-06-2023,23.3,31.4,28.6,74,0,270,2
04-06-2023,24.3,31.3,26.8,81,0,220,2
05-06-2023,23.3,30.2,26.4,82,0,250,2
06-06-2023,23.4,28.5,26.5,76,0,160,2
07-06-2023,24,29.1,26,86,0,210,1
08-06-2023,23.4,31.6,28.9,72,0,230,2
09-06-2023,22.3,32.7,26.6,75,0,280,2
10-06-2023,23.7,30.6,26,82,0,260,2
11-06-2023,22.1,29.6,25.8,84,0,300,2
12-06-2023,22.8,32.4,28.9,73,0,210,2
13-06-2023,24.2,32.4,27.4,80,0,210,2
14-06-2023,24,31.5,28.8,69,0,240,2
15-06-2023,22.7,29.8,25.8,83,0,260,1
16-06-2023,22.2,31.8,28,70,0,200,2
17-06-2023,23,31.5,27.9,74,0,260,2
18-06-2023,23.2,31.4,26.6,80,0,250,1
19-06-2023,22.6,32.2,26.6,80,0,230,1
20-06-2023,22.8,32.2,26.6,79,0,240,1
21-06-2023,23.2,31.2,26.7,80,0,260,2
22-06-2023,21.8,31.2,26,79,0,270,2
23-06-2023,22.1,30.4,25.8,83,0,260,2
24-06-2023,21.5,30.9,25.9,78,0,280,2
25-06-2023,22.8,30.2,25.6,83,0.4,200,2
26-06-2023,21.2,29.9,25.5,79,0,220,2
27-06-2023,23.2,29.8,27.2,73,0,240,2
28-06-2023,23.8,28.4,25.5,84,0.2,130,1
29-06-2023,23.6,30,25.7,86,0.8,190,1
30-06-2023,23.2,31.1,26.8,80,0.7,270,2
01-07-2023,23.5,29.3,25.8,84,3.4,180,2
02-07-2023,22.7,27.7,25.2,84,0,170,1
03-07-2023,22.4,28.4,25,84,0,230,2
04-07-2023,23.2,28.9,25.2,84,0.7,250,2
05-07-2023,23.6,27.2,24.9,88,0,220,1
06-07-2023,23.2,29.6,25.2,90,5.8,250,2
07-07-2023,23.2,26.4,24,93,2.8,120,2
08-07-2023,23.2,30.2,25.8,89,0.7,210,2
09-07-2023,23,31.6,26.4,85,14.7,290,1
10-07-2023,23,31.7,26.5,81,0,280,2
11-07-2023,21.2,31.4,25.8,78,0,220,2
12-07-2023,19.8,29.8,24.6,73,0,180,3
13-07-2023,22.8,26.8,24.5,88,0,270,1
14-07-2023,22,27.3,24.5,85,1.8,210,2
15-07-2023,22.8,29.7,25.5,82,1.3,210,2
16-07-2023,23.2,29.4,25.6,80,0,270,2
17-07-2023,20.6,29.6,24.7,78,0,200,2
18-07-2023,19.4,30,24.2,87,0,310,1
19-07-2023,22.2,30.8,26,68,0,180,3
20-07-2023,18.8,30.4,24.4,72,0,220,2
21-07-2023,21,30.4,24.7,76,0,200,2
22-07-2023,20.2,30.2,24.5,81,0,290,2
23-07-2023,21.5,31.6,25.8,76,0,250,2
24-07-2023,20.8,29.3,24.5,81,0,270,3
25-07-2023,20.4,30.8,24.9,78,0,220,2
26-07-2023,20.8,31.1,25.2,73,0,210,2
27-07-2023,18.2,29.2,23.8,74,0.2,260,2
28-07-2023,19.7,30.3,23.9,74,0,250,2
29-07-2023,20.5,30.5,24.2,74,0,290,2
30-07-2023,19,31.5,24.2,72,0,270,2
31-07-2023,21.2,31,25.2,77,0,270,1
01-08-2023,20.4,31.4,25.1,80,0,280,2
02-08-2023,22.2,31.6,25.6,84,0,270,2
03-08-2023,23.6,29.5,25.5,83,0,290,2
04-08-2023,22,30.1,25.4,78,0,230,2
05-08-2023,19.8,30.9,24.8,77,0,180,2
06-08-2023,23.4,29,25.5,83,0,230,2
07-08-2023,22.4,31.8,25.9,78,0,270,2
08-08-2023,20,31.4,25.2,76,0,240,3
09-08-2023,19.4,32.1,25,76,0,260,2
10-08-2023,20,31,24.8,75,0,270,3
11-08-2023,19.8,30.6,24.4,76,0.2,270,3
12-08-2023,19.2,30,24.4,77,0.4,290,3
13-08-2023,19.4,30.6,23.8,79,0,280,2
14-08-2023,20.2,31.8,24.7,75,0,200,1
15-08-2023,20.2,31.2,24.5,79,0,280,2
16-08-2023,20.4,31.6,25.9,72,0.2,170,3
17-08-2023,20.1,24.9,22.9,84,0.2,160,2
18-08-2023,21,28.5,24.1,80,3.2,260,2
19-08-2023,20.6,30.6,24.9,77,0,240,2
20-08-2023,20,30.7,24.9,80,0,290,2
21-08-2023,20.9,31,25.2,72,0,250,3
22-08-2023,21.4,30.4,25.1,78,0,230,2
23-08-2023,21.7,30.4,25.5,73,0,180,2
24-08-2023,20.1,31.9,24.9,77,0,290,2
25-08-2023,20,30.4,24,85,0,270,2
26-08-2023,21.3,29.8,24.9,82,0,310,2
27-08-2023,21.7,30,24.8,80,0,300,3
28-08-2023,20.2,31.4,24.7,76,0,270,3
29-08-2023,19.8,31.6,24.8,78,0,250,2
30-08-2023,19.6,31,24.8,76,0,270,3
31-08-2023,19.7,29.5,22.5,90,0,250,2
01-09-2023,20.9,30.2,24.5,78,0,290,3
02-09-2023,18.4,32.4,24.2,74,0,290,1
03-09-2023,19.9,29.8,24.5,71,0,230,3
04-09-2023,19.8,30.8,25,71,0.2,270,2
05-09-2023,18.6,31,24.1,70,0,280,2
06-09-2023,20,30.6,25.2,76,0,240,3
07-09-2023,22.4,31,25.6,75,0,220,2
08-09-2023,20.8,31,25.5,73,0,280,2
09-09-2023,18.4,30.9,23.8,77,0,280,3
10-09-2023,19.8,29.4,24,78,0,250,2
11-09-2023,19.8,31,25,76,0.7,300,3
12-09-2023,23.2,33,26.6,79,0,250,2
13-09-2023,22.8,31,25.8,80,0,230,2
14-09-2023,22.6,30.2,25.7,79,0,280,1
15-09-2023,20.4,31.4,25.6,76,0,230,2
16-09-2023,21.8,32.4,26.2,76,0,250,2
17-09-2023,22.8,29.1,25,82,0,280,2
18-09-2023,22.6,30.2,25.2,80,0,230,2
19-09-2023,21.4,30,25.5,76,0,260,2
20-09-2023,21.2,32.6,26.2,75,0,230,2
21-09-2023,21.4,32.4,25.9,73,0,280,2
22-09-2023,21,31.4,25.6,71,0,170,2
23-09-2023,20.8,31.2,25.4,75,0,270,2
24-09-2023,20.4,30.9,25.4,78,0,270,4
25-09-2023,23.2,32.2,26.2,78,0,240,3
26-09-2023,21.9,31.7,26.2,75,0,300,4
27-09-2023,23.9,31.5,26.1,80,0,280,3
28-09-2023,22.4,32.4,26.1,78,0,330,3
29-09-2023,22.2,32.5,26.2,79,0,260,3
30-09-2023,23.2,31.8,26.2,76,0,250,3
01-10-2023,23.2,31.4,26.3,79,0,240,2
02-10-2023,22.3,30.9,25.6,78,0,230,4
03-10-2023,22.5,31,26.3,77,0,220,3
04-10-2023,22.4,32.4,26.5,81,0,290,3
05-10-2023,23,33.4,27.4,74,0,210,2
06-10-2023,23.1,33.2,27.5,74,0,250,2
07-10-2023,23.4,32.2,27,79,0,270,3
08-10-2023,23.5,33.4,27.6,78,0,190,3
09-10-2023,22.6,34,27.5,75,0,200,2
10-10-2023,22.8,31.8,26.4,79,0,240,2
11-10-2023,21.6,32.1,26.2,74,0,260,3
12-10-2023,21.6,32.7,26.8,74,0,310,2
13-10-2023,24,33,27.4,76,0,280,3
14-10-2023,23.9,33.3,27.4,79,0,280,2
15-10-2023,23.4,35.6,28.4,71,0,270,3
16-10-2023,23.2,34.1,27.9,73,0,290,2
17-10-2023,23.8,33.6,27.9,77,0,270,2
18-10-2023,22.6,32.3,26.2,80,0,310,3
20-10-2023,22.1,33.2,26.3,84,0,270,1
21-10-2023,23,32.7,26.4,78,0,290,3
22-10-2023,22.2,33.8,27,75,0,200,2
23-10-2023,23.4,32.6,27.4,76,0,220,2
24-10-2023,23.4,33.2,27.5,77,0,270,3
25-10-2023,23.7,33.4,27.9,76,0,260,3
26-10-2023,24.8,33.4,28.2,77,0,300,3
27-10-2023,24.6,33.6,27.8,79,0,240,3
28-10-2023,23.2,33.3,27.8,76,0,250,3
29-10-2023,24.1,32.8,27.9,76,0,260,2
30-10-2023,24,32.4,27.8,77,0,250,3
31-10-2023,25,33.2,28.8,74,0,240,2
